feature_1,feature_2,feature_3,feature_4,feature_5
1.0,1.0,-1.0,-1.0,0.0
-0.09912366,-1.0,-1.0,-0.49202496,0.0
1.0,1.0,-1.0,1.0,0.0
0.46193555,1.0,1.0,0.77570117,0.0
0.8621113,1.0,-1.0,1.0,0.0
1.0,-1.0,-1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
-1.0,1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,0.0
1.0,1.0,-0.28888062,-0.27127516,1.0
-1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,0.0
1.0,-1.0,0.110545054,1.0,0.0
-1.0,1.0,-1.0,0.86968684,0.0
1.0,1.0,-1.0,1.0,0.0
1.0,1.0,-0.62104905,0.9558641,0.0
1.0,1.0,-1.0,1.0,0.0
-1.0,-0.35925588,-1.0,0.45454198,1.0
1.0,-1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,-1.0,0.0
0.7884807,-1.0,0.029925257,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-0.25046968,-1.0,0.0
1.0,0.0051693916,-1.0,0.6684344,0.0
-1.0,-1.0,-0.63564736,-0.32402503,1.0
1.0,1.0,1.0,1.0,0.0
-1.0,1.0,1.0,-1.0,0.0
-1.0,-1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,0.0
1.0,1.0,-0.07794511,0.3271908,0.0
-1.0,1.0,-1.0,1.0,0.0
-1.0,-1.0,1.0,1.0,1.0
-1.0,0.2298261,-1.0,1.0,1.0
1.0,1.0,1.0,0.44087356,1.0
1.0,1.0,-1.0,1.0,0.0
1.0,1.0,1.0,-0.8338103,1.0
1.0,-1.0,1.0,-1.0,1.0
1.0,1.0,1.0,-0.5312551,0.0
-1.0,1.0,-1.0,-0.6020756,0.0
-1.0,1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,1.0,0.0
-1.0,-1.0,1.0,0.27210677,0.0
-1.0,1.0,0.19354075,0.18100381,0.0
-1.0,0.32749164,-0.43688136,1.0,0.0
-1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,1.0,1.0,0.0
-1.0,1.0,-1.0,1.0,0.0
1.0,0.74272746,1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,0.0
1.0,-1.0,-1.0,1.0,0.0
-1.0,1.0,1.0,1.0,0.0
1.0,-1.0,1.0,-1.0,0.0
-1.0,-1.0,1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,0.0
-1.0,1.0,-1.0,1.0,0.0
1.0,0.83037394,0.7143294,1.0,1.0
1.0,1.0,-0.86261785,0.24170595,0.0
-0.65086365,0.99446464,1.0,1.0,0.0
-1.0,1.0,1.0,1.0,0.0
1.0,-1.0,1.0,1.0,1.0
1.0,1.0,-1.0,1.0,1.0
-1.0,-1.0,0.22772402,-1.0,1.0
-1.0,1.0,-1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,0.0
0.12631609,1.0,-1.0,0.16758478,1.0
-1.0,1.0,1.0,-1.0,0.0
-1.0,1.0,1.0,1.0,1.0
1.0,1.0,-1.0,-1.0,1.0
1.0,-1.0,0.20490354,-1.0,0.0
1.0,-1.0,-0.5050182,1.0,1.0
-0.52906424,0.7160905,-1.0,1.0,1.0
1.0,-1.0,1.0,-1.0,1.0
1.0,1.0,-0.5721884,-1.0,0.0
1.0,0.45833457,-1.0,-0.40645242,0.0
-0.31966165,1.0,1.0,0.46786165,0.0
