feature_1,feature_2,feature_3,feature_4,feature_5
-1.0,-0.31865582,-1.0,1.0,0.0
-1.0,1.0,-1.0,1.0,1.0
-0.22912163,-1.0,0.5884221,-0.89163077,1.0
1.0,-1.0,-1.0,1.0,0.0
-1.0,1.0,1.0,1.0,0.0
0.32021558,-1.0,1.0,1.0,1.0
-1.0,1.0,-1.0,1.0,1.0
-1.0,-1.0,0.23817353,1.0,0.0
1.0,-1.0,1.0,1.0,0.0
1.0,-1.0,1.0,1.0,0.0
1.0,0.898079,-1.0,1.0,0.0
-1.0,1.0,0.25776827,0.16220391,0.0
1.0,1.0,-1.0,-1.0,0.0
-0.9291163,1.0,-1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0,0.0
1.0,1.0,1.0,-1.0,0.0
1.0,1.0,-1.0,1.0,1.0
-1.0,0.18880093,1.0,-1.0,0.0
-1.0,0.39479882,-1.0,-1.0,0.0
1.0,-1.0,-1.0,0.56718045,0.0
-0.1124939,1.0,-1.0,1.0,0.0
1.0,1.0,-1.0,0.652789,0.0
0.5657659,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,0.0
1.0,-1.0,-1.0,-0.049078226,0.0
-1.0,-1.0,1.0,-1.0,0.0
1.0,1.0,-0.7198343,-1.0,0.0
0.20524022,0.8807417,-1.0,-1.0,0.0
-1.0,1.0,-1.0,-1.0,0.0
1.0,1.0,-0.18265596,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0
1.0,1.0,0.19014338,1.0,1.0
-1.0,1.0,0.716928,-1.0,1.0
1.0,1.0,1.0,1.0,0.0
-1.0,-1.0,-1.0,-1.0,0.0
1.0,1.0,-1.0,-1.0,1.0
-1.0,-1.0,1.0,-0.80502164,0.0
-1.0,1.0,1.0,0.16395915,0.0
1.0,-1.0,-0.059080645,1.0,0.0
1.0,0.77538073,-1.0,-1.0,0.0
-1.0,1.0,0.021461323,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,-0.17297614,1.0,1.0,0.0
-1.0,0.53264624,0.46657294,1.0,1.0
1.0,-1.0,-1.0,1.0,1.0
1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,0.0
-1.0,1.0,1.0,-1.0,0.0
-1.0,1.0,1.0,1.0,0.0
1.0,-1.0,1.0,-1.0,0.0
0.86904263,-1.0,0.2747518,-1.0,0.0
1.0,-1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
-1.0,1.0,-1.0,1.0,0.0
0.023778811,1.0,1.0,-1.0,0.0
1.0,1.0,-1.0,1.0,0.0
